
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
93,Mark Sanchez,PHI,28,9,8,198,309,2418,14,11,34,87,2.56,1,0,0,0,,0,QB,139,,27,
94,Josh McCown,TAM,35,11,11,184,327,2206,11,14,25,127,5.08,3,0,0,0,,0,QB,127,,28,
95,Eddie Royal,SDG,28,16,11,0,0,0,0,0,3,14,4.67,0,91,62,778,12.55,7,WR,119,,31,
96,Nick Foles,PHI,25,8,8,186,311,2163,13,10,16,68,4.25,0,0,0,0,,0,QB,119,,29,
97,Brandon Marshall,CHI,30,13,13,0,0,0,0,0,0,0,,0,106,61,721,11.82,8,WR,118,,34,
98,Marques Colston,NOR,31,16,13,0,0,0,0,0,0,0,,0,100,59,902,15.29,5,WR,118,,33,
99,Michael Floyd,ARI,25,16,14,0,0,0,0,0,1,2,2.00,0,99,47,841,17.89,6,WR,118,,32,
100,Ahmad Bradshaw,IND,28,10,1,0,0,0,0,0,90,425,4.72,2,47,38,300,7.89,6,RB,117,,25,
101,Shane Vereen,NWE,25,16,6,0,0,0,0,0,96,391,4.07,2,77,52,447,8.60,3,RB,114,,26,
102,Rueben Randle,NYG,23,16,13,0,0,0,0,0,0,0,,0,127,71,938,13.21,3,WR,112,,35,
103,Kendall Wright,TEN,25,14,11,0,0,0,0,0,4,54,13.50,0,93,57,715,12.54,6,WR,111,,36,
104,Kenny Stills,NOR,22,15,7,0,0,0,0,0,1,-2,-2.00,0,83,63,931,14.78,3,WR,111,,37,
105,Greg Jennings,MIN,31,16,13,0,0,0,0,0,0,0,,0,92,59,742,12.58,6,WR,110,,39,
106,Terrance Williams,DAL,25,16,16,0,0,0,0,0,0,0,,0,66,37,621,16.78,8,WR,110,,40,
107,Vincent Jackson,TAM,31,16,16,0,0,0,0,0,0,0,,0,142,70,1002,14.31,2,WR,110,,38,
108,Branden Oliver,SDG,23,14,7,0,0,0,0,0,160,582,3.64,3,45,36,271,7.53,1,RB,109,,27,
109,Rashad Jennings,NYG,29,11,9,0,0,0,0,0,167,639,3.83,4,41,30,226,7.53,0,RB,109,,28,
110,Austin Davis,STL,25,10,8,180,284,2001,12,9,16,36,2.25,0,0,0,0,,0,QB,108,,30,
111,Carson Palmer,ARI,35,6,6,141,224,1626,11,3,8,25,3.13,0,1,0,0,,0,QB,106,,31,
112,Andre Johnson,HOU,33,15,15,0,0,0,0,0,0,0,,0,146,85,936,11.01,3,WR,106,,41,
113,Allen Hurns,JAX,23,16,8,0,0,0,0,0,0,0,,0,97,51,677,13.27,6,WR,104,,42,
114,Terrance West,CLE,23,14,6,0,0,0,0,0,171,673,3.94,4,13,11,64,5.82,1,RB,102,,29,
115,James Jones,OAK,30,16,10,0,0,0,0,0,0,0,,0,112,73,666,9.12,6,WR,101,,43,
116,Robert Woods,BUF,22,16,15,0,0,0,0,0,0,0,,0,104,65,699,10.75,5,WR,100,,44,
117,Doug Baldwin,SEA,26,16,16,0,0,0,0,0,1,8,8.00,0,98,66,825,12.50,3,WR,99,,45,
118,John Brown,ARI,24,16,5,0,0,0,0,0,3,-6,-2.00,0,102,48,696,14.50,5,WR,99,,46,
119,Keenan Allen,SDG,22,14,14,0,0,0,0,0,0,0,,0,121,77,783,10.17,4,WR,98,,47,
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
120,Jarvis Landry,MIA,22,16,11,0,0,0,0,0,2,-4,-2.00,0,112,84,758,9.02,5,WR,97,,48,
121,Andrew Hawkins,CLE,28,15,15,0,0,0,0,0,3,15,5.00,0,112,63,824,13.08,2,WR,96,,49,
122,Drew Stanton,ARI,30,9,8,132,240,1711,7,5,25,63,2.52,0,0,0,0,,0,QB,95,,32,
123,Kenny Britt,STL,26,16,13,0,0,0,0,0,2,14,7.00,0,84,48,748,15.58,3,WR,94,,50,
124,Michael Crabtree,SFO,27,16,16,0,0,0,0,0,1,4,4.00,0,108,68,698,10.26,4,WR,94,,51,
125,Andre Holmes,OAK,26,16,13,0,0,0,0,0,0,0,,0,99,47,693,14.74,4,WR,93,,52,
126,Pierre Garcon,WAS,28,16,14,0,1,0,0,0,0,0,,0,105,68,752,11.06,3,WR,93,,53,
