
Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
107,Davante Adams,GNB,22,WR,16,11,66,38,446,11.7,3,45,2.4,27.9,0
108,Jace Amaro,NYJ,22,,14,4,53,38,345,9.1,2,43,2.7,24.6,1
109,Ahmad Bradshaw,IND,28,,10,1,47,38,300,7.9,6,22,3.8,30.0,3
110,Travaris Cadet,NOR,25,,15,1,51,38,296,7.8,1,31,2.5,19.7,2
111,Arian Foster*,HOU,28,RB,13,13,59,38,327,8.6,5,56,2.9,25.2,2
112,Devin Hester*,ATL,32,,16,1,59,38,504,13.3,2,46,2.4,31.5,2
113,Jermaine Kearse,SEA,24,WR,15,14,69,38,537,14.1,1,60,2.5,35.8,0
114,Jeremy Kerley,NYJ,26,wr,16,7,75,38,409,10.8,1,33,2.4,25.6,1
115,Lamar Miller,MIA,23,RB,16,16,52,38,275,7.2,1,20,2.4,17.2,3
116,Hakeem Nicks,IND,26,wr,16,6,68,38,405,10.7,4,29,2.4,25.3,0
117,Cole Beasley,DAL,25,,16,2,49,37,420,11.4,4,45,2.3,26.3,2
118,Marqise Lee,JAX,23,WR,13,8,69,37,422,11.4,1,37,2.8,32.5,0
119,Marshawn Lynch*,SEA,28,RB,16,14,48,37,367,9.9,4,39,2.3,22.9,4
Rk,,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
120,Marcel Reece*,OAK,29,RB,15,15,59,37,265,7.2,1,19,2.5,17.7,1
121,Terrance Williams,DAL,25,WR,16,16,66,37,621,16.8,8,51,2.3,38.8,0
122,Taylor Gabriel,CLE,23,,16,2,72,36,621,17.3,1,70,2.3,38.8,0
123,Darren McFadden,OAK,27,RB,16,12,56,36,212,5.9,0,23,2.3,13.3,1
124,Branden Oliver,SDG,23,rb,14,7,45,36,271,7.5,1,50,2.6,19.4,0
125,Preston Parker,NYG,27,wr,16,7,56,36,418,11.6,2,42,2.3,26.1,2
126,Andre Roberts,WAS,26,,16,4,73,36,453,12.6,2,61,2.3,28.3,4
127,Steve Johnson,SFO,28,,13,1,50,35,435,12.4,3,32,2.7,33.5,0
128,C.J. Anderson*,DEN,23,rb,15,7,44,34,324,9.5,2,51,2.3,21.6,1
129,Jason Avant,2TM,31,,16,0,62,34,353,10.4,1,41,2.1,22.1,0
130,Joique Bell,DET,28,rb,15,6,53,34,322,9.5,1,28,2.3,21.5,5
131,Theo Riddick,DET,23,,14,2,50,34,316,9.3,4,41,2.4,22.6,0
132,John Carlson,ARI,30,RB,16,12,55,33,350,10.6,1,32,2.1,21.9,0
133,Cordarrelle Patterson,MIN,23,wr,16,7,67,33,384,11.6,1,28,2.1,24.0,1
134,Bobby Rainey,TAM,27,rb,15,5,45,33,315,9.5,1,34,2.2,21.0,3
135,Brent Celek,PHI,29,TE,16,15,51,32,340,10.6,1,37,2.0,21.3,1
136,Donte Moncrief,IND,21,,16,2,49,32,444,13.9,3,79,2.0,27.8,0
137,Tavon Austin,STL,23,WR,15,8,44,31,242,7.8,0,28,2.1,16.1,5
138,Charles Johnson,MIN,25,wr,12,6,59,31,475,15.3,2,56,2.6,39.6,1
139,Damaris Johnson,HOU,25,WR,16,8,49,31,331,10.7,1,44,1.9,20.7,2
140,Louis Murphy,TAM,27,,11,3,56,31,380,12.3,2,54,2.8,34.5,1
141,Levine Toilolo,ATL,23,TE,16,16,54,31,238,7.7,2,20,1.9,14.9,1
