
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
156,Andre Branch,JAX,25,,9,0,0,0,0,0,3,2,0,1,0,0,3.0,12,6,
157,Tyvon Branch,OAK,28,,3,3,0,0,0,0,1,,,,,,1.0,23,6,
158,Bashaud Breeland,WAS,22,LCB,16,15,2,0,0,0,13,2,0,0,0,0,,58,11,
159,Drew Brees*,NOR,35,QB,16,16,,,,,,0,7,4,-22,0,,,,
160,Josh Brent,DAL,26,,1,0,,,,,,,,,,,,3,1,
161,Aaron Brewer,DEN,24,,16,0,,,,,,,,,,,,3,0,
162,Teddy Bridgewater,MIN,22,QB,13,12,,,,,,0,3,1,0,0,,1,0,
163,Lance Briggs,CHI,34,LLB,8,8,1,2,0,2,3,1,0,0,0,0,,24,11,
164,Beau Brinkley,TEN,24,,16,0,,,,,,,,,,,,5,1,
165,Jasper Brinkley,MIN,29,MLB,16,11,,,,,,1,0,0,0,0,1.0,54,21,
166,Justin Britt,SEA,23,RT,16,16,,,,,,0,0,1,0,0,,,,
167,Kenny Britt,STL,26,WR,16,13,,,,,,,,,,,,1,0,
168,Kevin Brock,CIN,28,,14,2,,,,,,,,,,,,2,0,
169,Tramaine Brock,SFO,26,,3,2,,,,,,,,,,,,7,0,
170,Richie Brockel,CAR,28,,4,0,,,,,,,,,,,,3,0,
171,Michael Brockers,STL,24,RDT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,24,8,
172,Jay Bromley,NYG,22,,8,0,,,,,,,,,,,,2,3,
173,Ahmad Brooks,SFO,30,LOLB,13,13,0,0,0,0,3,1,0,1,0,0,6.0,25,5,
174,Ron Brooks,BUF,26,,14,1,0,0,0,0,1,,,,,,,31,4,
175,Terrence Brooks,BAL,23,,11,0,0,0,0,0,2,0,0,1,0,0,,16,3,
176,Antonio Brown*+,PIT,26,WR,16,16,,,,,,0,2,1,0,0,,2,0,
177,Bryce Brown,BUF,23,,7,2,,,,,,0,1,0,0,0,,1,0,
178,Chykie Brown,2TM,28,,15,1,0,0,0,0,2,,,,,,,33,7,
179,Donald Brown,SDG,27,,13,3,,,,,,0,1,0,0,0,,5,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Everette Brown,WAS,27,,6,0,,,,,,,,,,,,6,2,
181,Jalil Brown,2TM,27,,5,0,0,0,0,0,1,,,,,,,1,0,
182,Jaron Brown,ARI,24,,16,2,,,,,,0,1,0,0,0,,8,1,
183,John Brown,ARI,24,wr,16,5,,,,,,0,0,1,0,0,,3,0,
184,Josh Brown,NYG,35,,16,0,,,,,,0,0,1,-4,0,,2,0,
185,Marlon Brown,BAL,23,,14,1,,,,,,,,,,,,4,1,
186,Philly Brown,CAR,23,,13,3,,,,,,0,3,1,0,0,,1,0,
187,Preston Brown,BUF,22,LLB,16,14,1,0,0,0,2,0,0,1,30,0,,66,43,
188,Sergio Brown,IND,26,FS,15,8,0,0,0,0,6,0,0,1,26,0,1.0,25,9,
189,Stevie Brown,NYG,27,FS,16,8,0,0,0,0,1,,,,,,1.0,30,8,
190,Tarell Brown,OAK,29,RCB,14,14,0,0,0,0,4,,,,,,,47,8,
191,Brandon Browner,NWE,30,RCB,9,9,1,32,0,30,7,,,,,,,26,6,
192,David Bruton,DEN,27,,14,1,0,0,0,0,3,2,0,0,0,0,,22,6,
193,Armonty Bryant,CLE,24,,5,2,,,,,,,,,,,1.0,5,6,
194,Corbin Bryant,BUF,26,,16,0,0,0,0,0,1,1,0,0,0,0,1.5,7,7,
195,Desmond Bryant,CLE,29,RDE,15,15,0,0,0,0,1,0,0,1,0,0,5.0,25,24,
196,Dez Bryant*+,DAL,26,WR,16,16,,,,,,0,1,1,0,0,,1,0,
197,Red Bryant,JAX,30,LDE,16,16,,,,,,1,0,0,0,0,1.0,15,8,
198,Deone Bucannon,ARI,22,SS,16,9,0,0,0,0,3,1,0,1,0,0,2.0,69,17,
199,Michael Buchanan,NWE,23,,3,0,,,,,,,,,,,,0,2,
200,Bryan Bulaga,GNB,25,RT,15,15,,,,,,0,0,1,0,0,,,,
