
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
810,Andy Lee,SFO,32,,16,0,,,,,,0,1,1,0,0,,,,
811,Marqise Lee,JAX,23,WR,13,8,,,,,,,,,,,,2,0,
812,Tim Lelito,NOR,25,,16,2,,,,,,,,,,,,1,0,
813,Orie Lemon,2TM,27,,10,3,,,,,,,,,,,,19,4,
814,Corey Lemonier,SFO,23,,16,0,,,,,,,,,,,,7,3,
815,Jim Leonhard,CLE,32,fs,16,5,2,34,0,34,3,0,1,0,0,0,1.0,27,16,
816,Brian Leonhardt,OAK,24,,12,3,,,,,,1,0,0,0,0,,5,0,
817,Robert Lester,CAR,26,,1,0,,,,,,,,,,,,0,1,
818,Anthony Levine,BAL,27,,16,3,0,0,0,0,4,,,,,,,24,9,
819,Andy Levitre,TEN,28,LG,16,16,,,,,,0,0,1,0,0,,1,0,
820,DeAndre Levy,DET,27,RLB,16,16,1,13,0,13,5,,,,,,2.5,121,34,1
821,Keenan Lewis,NOR,28,LCB,16,16,2,2,0,2,13,,,,,,,37,4,
822,Kendrick Lewis,HOU,26,FS,16,16,2,32,1,27,6,3,0,1,0,0,,52,32,
823,Travis Lewis,DET,26,,2,0,,,,,,,,,,,,2,0,
824,Kory Lichtensteiger,WAS,29,C,16,16,,,,,,0,0,2,0,0,,,,
825,Ryan Lindley,2TM,25,,3,2,,,,,,0,2,2,0,0,,,,
826,Corey Linsley,GNB,23,C,16,16,,,,,,0,1,0,0,0,,3,0,
827,Sean Lissemore,SDG,27,NT,15,8,,,,,,0,0,1,0,0,1.0,16,13,
828,Corey Liuget,SDG,24,RDE,16,16,0,0,0,0,2,2,0,2,0,1,4.5,45,12,
829,Brandon Lloyd,SFO,33,,14,3,,,,,,,,,,,,1,0,
830,Phil Loadholt,MIN,28,RT,11,11,,,,,,0,0,1,0,0,,,,
831,Jake Locker,TEN,26,qb,7,5,,,,,,0,3,2,-2,0,,,,
832,Ricardo Lockette,SEA,28,,16,0,,,,,,1,0,0,0,0,,7,1,
833,Cullen Loeffler,MIN,33,,16,0,,,,,,,,,,,,4,0,
834,Curtis Lofton,NOR,28,RILB,16,16,0,0,0,0,1,1,0,1,0,0,,100,45,
835,Bennie Logan,PHI,25,NT,16,16,0,0,0,0,1,1,0,0,0,0,,45,12,
836,Chris Long,STL,29,lde,6,6,,,,,,0,0,1,0,0,1.0,5,0,
837,Kyle Long*,CHI,26,RG,15,15,,,,,,,,,,,,4,0,
838,Spencer Long,WAS,24,,5,0,,,,,,,,,,,,1,0,
839,Erik Lorig,NOR,28,rb,10,6,,,,,,0,1,0,0,0,,2,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
840,Craig Loston,JAX,25,,13,0,,,,,,,,,,,,2,1,
841,Star Lotulelei,CAR,25,RDT,14,13,0,0,0,0,1,,,,,,2.0,21,8,
842,Lance Louis,IND,29,rg,9,7,,,,,,,,,,,,3,1,
843,Al Louis-Jean,CHI,21,,9,0,0,0,0,0,1,,,,,,,6,3,
844,Kyle Love,CAR,28,,0,1,,,,,,,,,,,,0,1,
845,Dwight Lowery,ATL,28,FS,16,15,2,21,0,21,5,2,0,1,0,0,1.0,60,19,
846,Cornelius Lucas,DET,23,,15,3,,,,,,,,,,,,1,0,
847,Andrew Luck*,IND,25,QB,16,16,,,,,,0,13,4,-30,0,,3,2,
848,Ricky Lumpkin,OAK,26,,5,0,,,,,,,,,,,1.0,6,3,
849,Aaron Lynch,SFO,21,,16,3,0,0,0,0,4,,,,,,6.0,17,6,
850,Marshawn Lynch*,SEA,28,RB,16,14,,,,,,0,4,1,-1,0,,,,
851,Elbert Mack,HOU,28,,8,0,,,,,,,,,,,,6,0,
852,Khalil Mack,OAK,23,RLB,16,16,0,0,0,0,3,1,0,0,0,0,4.0,59,16,
853,Jeremy Maclin,PHI,26,WR,16,16,,,,,,,,,,,,11,0,
854,Brandon Magee,TAM,24,,9,0,,,,,,,,,,,,7,0,
855,Kaluka Maiava,OAK,27,,4,2,,,,,,,,,,,,8,7,
856,Nick Mangold*,NYJ,30,C,15,15,,,,,,0,1,0,0,0,,2,0,
857,Logan Mankins,TAM,32,LG,16,16,,,,,,,,,,,,1,0,
858,Danieal Manning,HOU,32,ss,16,5,0,0,0,0,2,0,1,1,0,0,,32,14,
859,Peyton Manning*,DEN,38,QB,16,16,,,,,,0,6,1,-11,0,,2,0,
860,EJ Manuel,BUF,24,,5,4,,,,,,0,1,1,0,0,,,,
861,Johnny Manziel,CLE,22,,5,2,,,,,,0,1,1,0,0,,,,
862,Stansly Maponga,ATL,23,,12,0,,,,,,0,0,2,6,0,1.0,2,1,
863,Chris Maragos,PHI,27,,16,0,,,,,,1,0,0,0,0,,14,0,
864,Sen'Derrick Marks,JAX,27,RDT,16,16,0,0,0,0,2,0,0,1,0,0,8.5,34,9,
865,Cassius Marsh,SEA,22,,5,0,,,,,,,,,,,,1,4,
866,Brandon Marshall,CHI,30,WR,13,13,,,,,,1,1,1,0,0,,4,0,
867,Brandon Marshall,DEN,25,RLB,14,13,1,0,0,0,9,2,0,0,0,0,2.0,95,24,
868,Richard Marshall,SDG,30,,8,1,,,,,,,,,,,,18,6,
869,Eric Martin,CLE,23,,13,1,,,,,,1,1,1,0,0,,1,5,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
870,Jonathan Martin,SFO,25,RT,15,9,,,,,,,,,,,,1,0,
871,Josh Martin,KAN,23,,14,0,,,,,,,,,,,0.5,11,4,
872,Kareem Martin,ARI,22,,11,2,0,0,0,0,1,1,0,0,0,0,1.0,8,0,
873,Keshawn Martin,HOU,24,,16,0,,,,,,,,,,,,1,0,
874,Marcus Martin,SFO,21,C,8,8,,,,,,,,,,,,1,0,
875,Mike Martin,TEN,24,,12,3,,,,,,,,,,,,7,6,
876,Sherrod Martin,JAX,30,,13,2,1,0,0,0,2,1,0,0,0,0,,13,3,
877,Zack Martin*+,DAL,24,RG,16,16,,,,,,,,,,,,1,0,
878,Tre Mason,STL,21,RB,12,9,,,,,,0,2,1,0,0,,1,0,
879,Jonathan Massaquoi,ATL,26,,15,3,0,0,0,0,1,,,,,,2.0,16,6,
880,Bobby Massie,ARI,25,RT,16,16,,,,,,0,0,1,0,0,,1,0,
881,Ricardo Mathews,SDG,27,,12,1,,,,,,2,0,0,0,0,1.5,15,6,
882,Ryan Mathews,SDG,27,rb,8,7,,,,,,0,1,1,0,0,,,,
883,Tyrann Mathieu,ARI,22,fs,13,6,1,9,0,9,4,0,0,1,9,0,,37,2,
884,Evan Mathis*,PHI,33,LG,9,9,,,,,,,,,,,,1,0,
885,Rashean Mathis,DET,34,RCB,16,16,1,41,1,41,9,2,0,0,0,0,,45,9,
886,Casey Matthews,PHI,25,RILB,16,11,,,,,,1,0,1,8,0,1.5,31,22,
887,Chris Matthews,SEA,25,,3,0,,,,,,,,,,,,1,0,
888,Clay Matthews*,GNB,28,RILB/,16,16,1,40,0,40,9,2,0,0,0,0,11.0,52,19,
889,Cliff Matthews,ATL,25,,7,0,0,0,0,0,1,,,,,,,7,2,
890,Jake Matthews,ATL,22,LT,15,15,,,,,,0,0,1,0,0,,1,0,
891,Rishard Matthews,MIA,25,,14,0,,,,,,0,1,0,0,0,,3,1,
892,Rey Maualuga,CIN,27,MLB,12,12,1,4,0,4,5,,,,,,,35,26,
893,Josh Mauga,KAN,27,LOLB,16,16,0,0,0,0,3,,,,,,0.5,82,21,
894,Josh Mauro,2TM,23,,5,2,0,0,0,0,1,,,,,,,4,2,
895,Michael Mauti,MIN,24,,9,0,,,,,,,,,,,,4,1,
896,Byron Maxwell,SEA,26,RCB,13,12,2,23,0,21,13,0,0,1,0,0,,45,5,
897,Jerod Mayo,NWE,28,mlb,6,6,,,,,,0,0,1,0,0,1.0,37,16,
898,Benson Mayowa,OAK,23,,16,1,0,0,0,0,1,,,,,,1.0,9,5,
899,Joe Mays,KAN,29,,8,3,,,,,,0,0,1,0,0,,16,4,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
900,Taylor Mays,CIN,26,,16,0,,,,,,,,,,,1.0,9,2,1
901,Pat McAfee*+,IND,27,,16,0,,,,,,,,,,,,2,1,
902,Trumaine McBride,NYG,29,,6,1,1,11,0,11,1,2,0,1,0,0,1.0,19,2,
903,Brice McCain,PIT,28,RCB,14,9,3,56,1,31,6,0,0,1,26,0,,21,10,
904,Chris McCain,MIA,23,,10,0,,,,,,,,,,,1.0,4,0,
905,Jameel McClain,NYG,29,MLB,16,14,0,0,0,0,3,1,0,0,0,0,2.5,75,41,
906,Robert McClain,ATL,26,lcb,16,6,2,5,0,5,5,,,,,,1.0,49,10,
907,Rolando McClain,DAL,25,MLB,13,12,2,0,0,0,3,1,0,0,0,0,1.0,67,20,
908,Terrell McClain,DAL,26,,13,0,,,,,,1,0,0,0,0,1.0,14,5,
909,Albert McClellan,BAL,28,,16,0,,,,,,1,0,1,0,0,,13,6,
910,Shea McClellin,CHI,24,RLB,12,10,0,0,0,0,1,,,,,,1.0,24,12,
911,Devin McCourty,NWE,27,FS,16,16,2,70,0,60,9,1,0,0,0,0,,59,19,
912,Jason McCourty,TEN,27,RCB,16,16,3,0,0,0,11,2,0,1,62,1,,77,8,
913,Josh McCown,TAM,35,QB,11,11,,,,,,0,10,5,-3,0,,1,0,
914,Colt McCoy,WAS,27,,5,4,,,,,,0,6,2,-1,0,,,,
915,Gerald McCoy*,TAM,26,LDT,13,13,0,0,0,0,3,1,0,0,0,0,8.5,28,7,
916,LeSean McCoy*,PHI,26,RB,16,16,,,,,,0,4,0,0,0,,1,0,
917,Danny McCray,CHI,26,,15,0,,,,,,0,0,1,0,0,,17,7,
918,Demetrius McCray,JAX,23,LCB,16,12,0,0,0,0,3,,,,,,,42,7,
919,Kelcie McCray,KAN,26,,16,0,,,,,,,,,,,,9,2,
920,L.J. McCray,SFO,23,,14,0,,,,,,,,,,,,8,2,
921,Lerentee McCray,DEN,24,,13,0,0,0,0,0,1,1,0,0,0,0,1.0,5,3,
922,Daniel McCullers,PIT,22,,9,1,,,,,,,,,,,,1,2,
923,Jacobbi McDaniel,CLE,25,,1,0,0,0,0,0,1,,,,,,,,,
924,Tony McDaniel,SEA,29,LDT,16,14,0,0,0,0,2,0,0,1,0,0,,17,24,1
925,Clinton McDonald,TAM,27,RDT,13,13,1,3,0,3,2,0,0,2,4,0,5.0,35,11,
926,Dewey McDonald,IND,24,,12,0,,,,,,,,,,,,11,2,
927,Nick McDonald,CLE,27,c,8,7,,,,,,,,,,,,1,0,
928,Ray McDonald,SFO,30,LDE,14,14,,,,,,1,0,0,0,0,3.0,26,13,
929,T.J. McDonald,STL,23,FS,16,16,1,20,0,20,7,0,0,1,3,0,2.0,84,21,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
930,Vance McDonald,SFO,24,,8,4,,,,,,0,1,0,0,0,,1,0,
931,Bradley McDougald,TAM,24,ss,15,5,1,0,0,0,7,,,,,,,40,10,
932,Darren McFadden,OAK,27,RB,16,12,,,,,,0,1,0,0,0,,2,1,
933,Leon McFadden,SFO,24,,7,0,0,0,0,0,1,,,,,,,5,1,
934,Marshall McFadden,STL,28,,5,0,,,,,,,,,,,,3,1,
935,Brandon McGee,STL,24,,2,0,,,,,,,,,,,,3,1,
936,Stacy McGee,OAK,24,,11,0,,,,,,,,,,,,2,2,
937,Keith McGill,OAK,25,,12,1,0,0,0,0,1,0,0,1,18,1,,9,0,
938,Matt McGloin,OAK,25,,1,0,,,,,,,,,,,,1,0,
939,Mike McGlynn,KAN,29,LG,14,13,,,,,,,,,,,,1,0,
940,Leodis McKelvin,BUF,29,LCB,10,9,4,10,0,9,8,1,1,0,0,0,,45,3,
941,Jerick McKinnon,MIN,22,rb,11,6,,,,,,,,,,,,1,0,
942,Joe McKnight,KAN,26,,2,0,,,,,,,,,,,,1,0,
943,Steve McLendon,PIT,28,NT,12,11,,,,,,,,,,,1.0,12,10,
944,Rodney McLeod,STL,24,SS,16,16,2,1,0,1,6,2,0,3,9,0,,62,10,
945,Sherrick McManis,CHI,27,,12,0,,,,,,0,0,1,0,0,,10,2,
946,Josh McNary,IND,26,,15,4,,,,,,,,,,,0.5,16,13,
947,Pernell McPhee,BAL,26,,16,0,0,0,0,0,4,1,0,0,0,0,7.5,17,14,
948,Jake McQuaide,STL,27,,16,0,,,,,,,,,,,,2,0,
949,Robert Meachem,NOR,30,,11,2,,,,,,,,,,,,3,0,
950,Steven Means,2TM,25,,2,0,,,,,,,,,,,,0,1,
951,Brandon Mebane,SEA,29,RDT,9,9,,,,,,,,,,,1.0,11,9,
952,Jamie Meder,2TM,23,,1,0,,,,,,,,,,,,1,0,
953,Henry Melton,DAL,28,,16,3,0,0,0,0,4,0,0,2,1,0,5.0,11,4,
954,Rashaan Melvin,2TM,25,,3,2,0,0,0,0,1,1,0,0,0,0,,28,7,
955,Whitney Mercilus,HOU,24,ROLB,15,13,,,,,,2,0,0,0,0,5.0,31,19,
956,Brandon Meriweather,WAS,30,SS,10,10,0,0,0,0,3,3,0,1,0,0,3.0,36,19,
957,Jack Mewhort,IND,23,LG,14,14,,,,,,,,,,,,2,0,
958,Jeromy Miles,BAL,27,,16,2,1,6,0,6,1,2,0,1,0,0,,23,11,
959,Bruce Miller,SFO,27,RB,16,8,,,,,,0,1,0,0,0,,1,0,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
960,Gabe Miller,WAS,27,,7,0,,,,,,,,,,,,2,2,
961,Heath Miller,PIT,32,TE,16,16,,,,,,0,2,0,0,0,,4,0,
962,Lamar Miller,MIA,23,RB,16,16,,,,,,0,3,1,0,0,,1,0,
963,Roy Miller,JAX,27,LDE,14,14,0,0,0,0,1,,,,,,1.0,21,10,
964,Von Miller*,DEN,25,LLB,16,16,0,0,0,0,2,1,0,1,2,0,14.0,48,18,
965,Dee Milliner,NYJ,23,,3,2,0,0,0,0,2,,,,,,,5,1,
966,Jordan Mills,CHI,24,RT,13,13,,,,,,,,,,,,1,0,
967,Jeremy Mincey,DAL,31,RDE,16,16,0,0,0,0,1,2,0,2,0,0,6.0,26,20,
968,Barkevious Mingo,CLE,24,ROLB,15,11,0,0,0,0,4,0,0,1,0,0,2.0,26,16,
969,Chase Minnifield,WAS,25,,7,1,,,,,,,,,,,,4,0,
970,Kevin Minter,ARI,24,rilb,16,5,,,,,,,,,,,1.0,40,5,
971,Koa Misi,MIA,27,MLB,11,11,0,0,0,0,2,0,0,1,0,0,1.0,50,16,
972,Earl Mitchell,MIA,27,,16,4,0,0,0,0,1,,,,,,2.0,22,11,
973,Michael Mitchell,PIT,27,FS,16,16,0,0,0,0,3,2,0,0,0,0,,55,21,
974,Arthur Moats,PIT,26,ROLB,16,9,,,,,,2,0,1,0,0,4.0,17,7,
975,Dontay Moch,TEN,26,,3,0,0,0,0,0,1,,,,,,,4,0,
976,Mike Mohamed,HOU,26,,14,2,1,0,0,0,6,,,,,,,39,28,
977,Donte Moncrief,IND,21,,16,2,,,,,,,,,,,,3,0,
978,Nick Moody,SFO,24,,16,2,,,,,,,,,,,,16,5,
979,Damontre Moore,NYG,22,,16,0,0,0,0,0,2,,,,,,5.5,25,7,
980,Marlon Moore,CLE,27,,13,0,,,,,,1,0,1,0,0,,9,0,
981,Rahim Moore,DEN,24,FS,16,16,4,36,0,19,6,1,0,1,0,0,,45,6,
982,Sio Moore,OAK,24,LLB,11,11,0,0,0,0,1,1,0,0,0,0,3.0,67,22,
983,Sterling Moore,DAL,24,llb,16,7,0,0,0,0,13,1,0,2,17,0,,39,11,
984,William Moore,ATL,29,ss,7,7,,,,,,2,0,0,0,0,,13,12,
985,Zach Moore,NWE,24,,8,1,,,,,,1,0,1,0,0,0.5,0,4,
986,Derrick Morgan,TEN,25,LOLB,16,16,0,0,0,0,7,2,0,0,0,0,6.5,43,20,
987,Joe Morgan,NOR,26,,5,2,,,,,,,,,,,,1,0,
988,Josh Morgan,CHI,29,wr,14,7,,,,,,,,,,,,1,0,
989,Mike Morgan,SEA,26,,16,0,,,,,,,,,,,,7,3,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
990,Alfred Morris*,WAS,26,RB,16,16,,,,,,0,2,1,0,0,,2,0,
991,Darryl Morris,HOU,24,,11,1,1,0,0,0,7,,,,,,,26,5,
992,Thomas Morstead,NOR,28,,16,0,,,,,,,,,,,,2,0,
993,Morgan Moses,WAS,23,,8,1,,,,,,,,,,,,1,0,
994,Brandon Mosley,NYG,26,,9,0,,,,,,,,,,,,1,0,
995,C.J. Mosley*,BAL,22,LILB,16,16,2,23,0,18,8,1,0,1,6,0,3.0,99,52,
996,C.J. Mosley,DET,31,LDT,15,8,,,,,,1,0,0,0,0,2.5,17,10,
997,Santana Moss,WAS,35,,10,0,,,,,,0,0,1,5,0,,,,
998,Henoc Muamba,IND,25,,13,0,,,,,,,,,,,,4,2,
999,Andy Mulumba,GNB,24,,2,0,,,,,,,,,,,,1,0,
1000,Ryan Mundy,CHI,29,SS,16,16,4,52,1,45,6,0,0,1,0,0,1.0,75,28,
1001,Captain Munnerlyn,MIN,26,LCB,16,16,2,1,0,1,4,0,0,1,0,0,,51,10,
1002,Louis Murphy,TAM,27,,11,3,,,,,,0,1,0,0,0,,1,0,
1003,Trent Murphy,WAS,24,ROLB,15,8,0,0,0,0,1,2,0,1,0,0,2.5,22,11,
1004,DeMarco Murray*+,DAL,26,RB,16,16,,,,,,0,6,2,0,0,,2,0,
1005,Latavius Murray,OAK,23,,15,3,,,,,,0,1,0,0,0,,4,0,
1006,Brandon Myers,TAM,29,te,14,6,,,,,,0,0,1,0,0,,,,
1007,Chris Myers,HOU,33,C,16,16,,,,,,0,1,0,-20,0,,1,1,
1008,Ryan Nassib,NYG,24,,4,0,,,,,,0,1,1,0,0,,,,
1009,Mike Neal,GNB,27,,16,3,,,,,,,,,,,4.5,24,18,
1010,Corey Nelson,DEN,,,16,0,0,0,0,0,1,,,,,,,11,7,
1011,David Nelson,NYJ,28,wr,6,5,,,,,,0,2,0,0,0,,1,0,
1012,Jordy Nelson*,GNB,29,WR,16,16,,,,,,0,0,1,0,0,,1,0,
1013,Kyle Nelson,SFO,28,,16,0,,,,,,,,,,,,3,0,
1014,Reggie Nelson,CIN,31,FS,16,16,4,30,0,31,12,0,0,1,6,0,1.5,65,34,
1015,Marshall Newhouse,CIN,26,rg,15,5,,,,,,,,,,,,1,1,
1016,Terence Newman,CIN,36,LCB,13,13,1,3,0,3,15,,,,,,,51,24,
1017,Jonathan Newsome,IND,23,,16,1,,,,,,4,0,0,0,0,6.5,24,9,
1018,Cam Newton,CAR,25,QB,14,14,,,,,,0,12,3,-13,0,,3,0,
1019,Haloti Ngata,BAL,30,LDE,12,12,2,16,0,13,8,2,0,0,0,0,2.0,20,15,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1020,Troy Niklas,ARI,22,,7,2,,,,,,,,,,,,2,0,
1021,Rob Ninkovich,NWE,30,LDE,16,16,1,11,0,11,4,0,0,1,15,1,8.0,53,24,
1022,Josh Norman,CAR,27,RCB,14,10,2,60,0,33,11,1,1,1,0,0,,40,14,
1023,Brad Nortman,CAR,25,,16,0,,,,,,0,1,1,0,0,,,,
1024,Andrew Norwell,CAR,23,LG,10,9,,,,,,,,,,,,1,0,
1025,Kevin Norwood,SEA,25,,9,2,,,,,,,,,,,,2,0,
1026,Mike Nugent,CIN,32,,16,0,,,,,,,,,,,,1,1,
1027,Pat O'Donnell,CHI,23,,16,0,,,,,,0,1,1,0,0,,2,0,
1028,Jared Odrick,MIA,27,RDT,16,16,0,0,0,0,5,1,0,1,0,0,1.0,23,6,
1029,Alec Ogletree,STL,23,LLB,16,16,2,44,0,44,12,4,0,0,0,0,,84,27,
1030,Kevin Ogletree,NYG,27,,7,0,,,,,,,,,,,,1,0,
1031,Alex Okafor,ARI,23,LOLB,13,12,1,26,0,26,3,,,,,,8.0,30,4,
1032,Kenny Okoro,WAS,25,,1,1,,,,,,,,,,,,1,0,
1033,Russell Okung,SEA,27,LT,14,14,,,,,,,,,,,,1,0,
1034,Michael Ola,CHI,26,LG,13,12,,,,,,,,,,,,1,0,
1035,Jamize Olawale,OAK,25,,16,0,,,,,,1,0,0,0,0,,8,0,
1036,Branden Oliver,SDG,23,rb,14,7,,,,,,,,,,,,1,0,
1037,Greg Olsen*,CAR,29,TE,16,16,,,,,,0,1,2,-4,0,,1,0,
1038,Patrick Omameh,TAM,25,RG,16,16,,,,,,,,,,,,3,0,
1039,Brian Orakpo,WAS,28,rolb,7,7,0,0,0,0,1,,,,,,0.5,14,10,
1040,Zach Orr,BAL,22,,15,0,,,,,,,,,,,,7,4,
1041,Kyle Orton,BUF,32,QB,12,12,,,,,,0,3,1,0,0,,,,
1042,Kassim Osgood,SFO,34,,13,0,,,,,,,,,,,,6,0,
1043,Matt Overton,IND,29,,16,0,,,,,,,,,,,,3,0,
1044,Chris Owens,KAN,28,,11,3,0,0,0,0,4,0,0,1,0,0,0.5,27,6,
1045,Montell Owens,2TM,30,,6,0,,,,,,,,,,,,0,1,
1046,Calvin Pace,NYJ,34,ROLB,16,16,0,0,0,0,3,,,,,,5.0,27,11,
1047,Stephen Paea,CHI,26,RDT,16,16,0,0,0,0,3,2,0,0,0,0,6.0,24,9,
1048,Jeoffrey Pagan,HOU,21,,16,0,,,,,,,,,,,,5,5,
1049,Tenny Palepoi,SDG,24,,16,0,,,,,,,,,,,,9,7,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1050,Ashlee Palmer,DET,28,llb,16,5,0,0,0,0,2,,,,,,1.5,10,4,
1051,Carson Palmer,ARI,35,qb,6,6,,,,,,0,3,2,0,0,,2,0,
1052,Michael Palmer,PIT,26,,15,1,,,,,,,,,,,,2,0,
1053,Preston Parker,NYG,27,wr,16,7,,,,,,0,2,0,0,0,,3,0,
1054,Ron Parker,KAN,27,SS,16,15,1,10,0,10,12,1,0,0,0,0,1.0,84,10,
1055,Cody Parkey*,PHI,24,,16,0,,,,,,,,,,,,2,1,
1056,Tyler Patmon,DAL,23,,11,0,1,58,1,58,1,,,,,,,10,1,
1057,Mike Patterson,NYG,31,LDT,16,8,,,,,,,,,,,,15,12,
1058,Solomon Patton,2TM,24,,13,0,,,,,,0,1,1,0,0,,,,
1059,Niles Paul,WAS,25,te,16,7,,,,,,0,1,1,0,0,,5,1,
1060,Logan Paulsen,WAS,27,TE,16,12,,,,,,0,1,0,0,0,,3,0,
1061,Spencer Paysinger,NYG,26,,15,1,,,,,,,,,,,,12,3,
1062,Cedric Peerman,CIN,28,,16,0,,,,,,0,1,0,0,0,,14,3,
1063,Domata Peko,CIN,30,LDT,16,16,,,,,,,,,,,1.0,28,22,
1064,Donald Penn,OAK,31,LT,16,16,,,,,,0,0,1,0,0,,2,0,
1065,Mike Pennel,GNB,,,13,0,,,,,,,,,,,,8,1,
1066,Julius Peppers,GNB,34,LOLB,16,16,2,101,2,52,11,6,0,3,2,0,7.0,34,20,
1067,Nick Perry,GNB,24,,15,4,0,0,0,0,1,1,0,1,0,0,3.0,23,9,
1068,Senorise Perry,CHI,23,,16,0,,,,,,2,0,0,0,0,,8,2,
1069,Corey Peters,ATL,26,,15,2,,,,,,,,,,,2.0,15,11,
1070,Patrick Peterson*,ARI,24,LCB,16,16,3,30,1,30,7,,,,,,1.0,48,7,
1071,Brandon Pettigrew,DET,29,TE,14,9,,,,,,,,,,,,1,0,
1072,Adrian Phillips,SDG,22,,3,0,,,,,,,,,,,,0,1,
1073,John Phillips,SDG,27,,16,1,,,,,,,,,,,,8,2,
1074,Shaun Phillips,2TM,33,,16,1,0,0,0,0,2,,,,,,2.0,16,10,
1075,Ryan Pickett,HOU,35,MLB,13,13,0,0,0,0,3,,,,,,,11,9,
1076,Bernard Pierce,BAL,24,,13,2,,,,,,0,1,0,0,0,,1,0,
1077,Kevin Pierre-Louis,SEA,23,,7,0,,,,,,0,0,1,0,0,,10,3,
1078,Jason Pierre-Paul,NYG,25,RDE,16,16,0,0,0,0,6,3,0,1,0,0,12.5,53,24,
1079,Ropati Pitoitua,TEN,29,LDE,12,11,0,0,0,0,1,0,0,1,0,0,2.0,15,15,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1080,Eddie Pleasant,HOU,26,,14,0,0,0,0,0,1,,,,,,,5,1,
